id,latitude,longitude,price,review_count,rating,zip_code,city,alias,categories
uQwSAGy7Tg5GguqVvQrIPw,33.75416,-118.29191,$$,519,4.0,90731,San Pedro,big-nicks-pizza-san-pedro,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
JXeChjufC4xIhS1ILD5uUg,33.7543740921021,-118.292480818927,$,92,4.5,90731,Los Angeles,teriyaki-table-san-pedro-los-angeles,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
Tp4EYfk_tX8xafjkKPSsIg,33.75537,-118.2926,$,208,3.0,90731,San Pedro,fantastic-cafe-san-pedro-2,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
C1UeuyjkuuQtzKdntFXq_Q,33.7588194904265,-118.293098557538,$,18,3.0,90731,San Pedro,7-eleven-san-pedro-7,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
y8Y14sloWPRlzmT7rO4b3Q,33.7504790601092,-118.306847746636,$,70,3.5,90732,San Pedro,jersey-mikes-subs-san-pedro,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'delis', 'title': 'Delis'}]"
v_84sx4xof3Qv_HDrubSMA,33.76045,-118.293304,$$,16,2.5,90731,San Pedro,starbucks-san-pedro-12,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
-wPgU3jvhW2-hw3aWQjQnA,33.751013,-118.307344,$,159,2.5,90732,San Pedro,chipotle-mexican-grill-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
ufDKyE15_ARSFC8pK90n7g,33.7601,-118.29388,$$,19,3.5,90731,San Pedro,which-wich-san-pedro,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
EQXNiyZpUbwP0QfbeQ9tnQ,33.75225833,-118.3074955,$$,80,4.5,90732,San Pedro,rollstop-sushi-san-pedro,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
Ztog6240-pen6hcn64ZFVg,33.7521553946072,-118.307503702406,$$,168,4.0,90732,San Pedro,fat-tomato-pizza-san-pedro-2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
