,alias,categories,city,id,latitude,longitude,price,rating,review_count,zip_code
13418,mcdonalds-los-angeles-42,"['burgers', 'hotdogs', 'coffee']",Los Angeles,woE58cGOphYGjpkyj4x0sg,34.0463168181119,-118.208529353142,1,1.5,55.0,90033
13419,mcdonalds-los-angeles-41,"['burgers', 'hotdogs', 'coffee']",Los Angeles,zlhD9PQ7F0ef5ls74v-xLw,34.035270000000004,-118.23813999999999,1,2.0,85.0,90021
13420,mcdonalds-los-angeles-39,"['burgers', 'hotdogs', 'coffee']",Los Angeles,Ki2MFnf1f1cRcfKkcUL2NQ,34.08333812,-118.2913325,1,2.0,83.0,90029
13421,mcdonalds-los-angeles-38,"['hotdogs', 'burgers', 'coffee']",Los Angeles,S38YHvw4ffBWkj65ZOzrsA,34.06809620000001,-118.29201709999998,1,1.5,138.0,90020
13422,mcdonalds-los-angeles-37,"['hotdogs', 'burgers', 'coffee']",Los Angeles,kwWQsPeU9NvfjDt6jLTDOw,34.0953329747381,-118.283987939358,1,2.0,117.0,90029
13423,mcdonalds-los-angeles-36,"['hotdogs', 'burgers', 'coffee']",Los Angeles,lid2Y978iqra_s1OXZ-d9g,33.9256504912398,-118.238677382469,1,1.5,69.0,90059
13424,mcdonalds-los-angeles-33,"['burgers', 'hotdogs', 'coffee']",Los Angeles,I-uAUy0jYOAJR9lxGWwvcA,34.024007265624,-118.372769057751,1,1.5,91.0,90016
13425,mcdonalds-los-angeles-32,"['burgers', 'hotdogs', 'coffee']",Los Angeles,5Qy411WeiMziwQrv2AqaBg,34.04163179,-118.30855030000001,1,1.5,75.0,90006
13426,mcdonalds-los-angeles-29,"['hotdogs', 'burgers', 'coffee']",Los Angeles,bOxDzc_pJd2tJ3JphODE5A,34.0597704,-118.17338970000002,1,1.5,133.0,90063
13427,mcdonalds-los-angeles-28,"['hotdogs', 'burgers', 'coffee']",Los Angeles,HGVQMyoo5OLBZjnLm5Fblg,34.05665,-118.42601,1,2.0,202.0,90025
13428,mcdonalds-los-angeles-27,"['hotdogs', 'burgers', 'coffee']",Los Angeles,lWVa6x2vdrTcGhb_xUxPxw,34.097791755809304,-118.308927118778,1,1.5,94.0,90027
13429,mcdonalds-los-angeles-26,"['hotdogs', 'burgers', 'coffee']",Los Angeles,Olii8Dym_yYpkRSR_R1T8A,34.005895,-118.333789,1,2.5,27.0,90008
13430,mcdonalds-los-angeles-25,"['hotdogs', 'burgers', 'coffee']",Los Angeles,nbGxlmeQ-ZZjSl31rFirIw,34.058482,-118.212274,1,2.0,78.0,90033
13431,mcdonalds-los-angeles-22,"['hotdogs', 'burgers', 'coffee']",Los Angeles,JpSpAVFZ0DrxdzgLGC-iwQ,34.0978251,-118.366848,1,2.5,73.0,90046
13432,mcdonalds-los-angeles-180,"['hotdogs', 'burgers', 'coffee']",Los Angeles,omoK1noPM7NqXS5kMNyyRQ,33.981,-118.43903999999999,1,2.0,96.0,90292
13433,mcdonalds-los-angeles-179,"['hotdogs', 'burgers', 'coffee']",Los Angeles,Uk29FYGkcS5M0Q8V-KWyNw,34.1833,-118.60428999999999,1,2.5,143.0,91367
13434,mcdonalds-los-angeles-178,"['coffee', 'burgers', 'hotdogs']",Los Angeles,NFVQ5SDZmzPC1FjqcKYhBQ,33.959758799999996,-118.30064809999999,1,2.0,30.0,90047
13435,mcdonalds-los-angeles-177,"['coffee', 'burgers', 'hotdogs']",Los Angeles,zW_4eXZxlHJsej3DR4aKYQ,34.188298700000004,-118.6250027,1,2.5,16.0,91307
13436,mcdonalds-los-angeles-168,"['hotdogs', 'coffee', 'burgers']",Los Angeles,ku1OABw1K-Hb_vrUdbSlAA,33.974888,-118.3310249,1,1.5,27.0,90043
13437,mcdonalds-los-angeles-161,"['hotdogs', 'coffee', 'burgers']",Los Angeles,P4KShh94GLiwlXGWNtTXEg,34.0275718087847,-118.219226002693,1,1.5,30.0,90023
13438,mcdonalds-los-angeles-156,"['burgers', 'hotdogs', 'coffee']",Los Angeles,7jWcpU51bs7NVsRHk-oM_w,34.0110727300264,-118.31790313124701,1,1.5,42.0,90008
13439,mcdonalds-los-angeles-151,"['burgers', 'hotdogs', 'coffee']",Los Angeles,kv-TfSUMbulCiCJTE6jegQ,33.945708,-118.308601,1,2.0,33.0,90047
13440,mcdonalds-los-angeles-149,"['burgers', 'hotdogs', 'coffee']",Los Angeles,P07aq3mEBU1w6oGSVAVkew,33.98788546,-118.3652186,1,2.0,52.0,90056
13441,mcdonalds-los-angeles-148,"['burgers', 'hotdogs', 'coffee']",Los Angeles,WKlyrlvvuOUu4GUSAzDUYg,33.958199,-118.2314877,1,1.5,50.0,90002
13442,mcdonalds-los-angeles-139,"['hotdogs', 'burgers', 'coffee']",Los Angeles,gN9MX6HebjuXBkIcUy-uTA,33.959634,-118.38611200000001,1,2.0,114.0,90045
13443,mcdonalds-los-angeles-135,"['hotdogs', 'burgers', 'coffee']",Los Angeles,dtsPpKzJnspSVT_2QHxvqg,34.0516482813091,-118.36910516023599,1,2.5,48.0,90035
