id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category,med_agi,avg_agi,count
IzR3T3mESJlnJIDTTpztZQ,34.0845506,-118.27460390000002,2,102.0,4.0,90026,Los Angeles,sweetfin-poké-los-angeles-7,"['poke', 'japanese', 'gluten_free']",54342,81369,214
IygcFrP7yIComDXZKxDasg,34.074265000000004,-118.252278,2,753.0,4.0,90026,Los Angeles,the-park-los-angeles,['newamerican'],54342,81369,214
IdvKPkAnraeMMj3q17yUbA,34.07663,-118.26483,1,25.0,4.5,90026,Los Angeles,los-angeles-shave-ice-truck-los-angeles,"['icecream', 'shavedice', 'foodtrucks']",54342,81369,214
I90wd2SGfFc6vmja57qpxA,34.07109144,-118.2507479,2,219.0,4.0,90026,Los Angeles,eightfold-coffee-los-angeles-4,['coffee'],54342,81369,214
HN11c9eMQZs6rcYhDrRW4w,34.0908543,-118.2783261,2,346.0,4.5,90026,Los Angeles,33-taps-silver-lake-los-angeles-2,"['sportsbars', 'breakfast_brunch', 'gastropubs']",54342,81369,214
HLLICaNVSR0FJKIN80LrOg,34.0825531,-118.2731253,2,191.0,4.5,90026,Los Angeles,black-hogg-sandwiches-los-angeles,"['sandwiches', 'salad', 'desserts']",54342,81369,214
HF0UTvLCCeFwYvUfr5-nSQ,34.077248700000005,-118.26549140000002,2,139.0,4.5,90026,Los Angeles,icy-rush-los-angeles-5,"['desserts', 'icecream', 'coffee']",54342,81369,214
H4myDD4D_iOAH0QvzOfDUQ,34.07714577,-118.2647831,1,268.0,4.0,90026,Los Angeles,cinnaholic-los-angeles,"['bakeries', 'vegan', 'desserts']",54342,81369,214
H4ew518bqV4ew61g-brTrQ,34.07397765,-118.2515627,2,601.0,4.0,90026,Los Angeles,button-mash-los-angeles,"['asianfusion', 'bars', 'arcades']",54342,81369,214
G_9bJGizhgFzElrHSrOwXw,34.076918,-118.2757196,2,89.0,4.5,90026,Los Angeles,maurys-los-angeles,['bagels'],54342,81369,214
GJLJ368dETITnVruS9Lo2g,34.07779137,-118.266603,2,232.0,4.0,90026,Los Angeles,bangkok-palace-los-angeles,['thai'],54342,81369,214
FeYrDlDJngA8IkzcCZ0aYQ,34.07799,-118.25937,2,305.0,4.0,90026,Los Angeles,el-prado-los-angeles,['bars'],54342,81369,214
Fcxm2Wnz8lLDi6doGcAMTw,34.0782765,-118.2614713,2,810.0,4.0,90026,Los Angeles,taix-french-country-cuisine-los-angeles,['french'],54342,81369,214
F2W1R7yIvSOqD1xH_F1cZA,34.08292,-118.27289,2,650.0,4.0,90026,Los Angeles,wood-los-angeles-7,"['pizza', 'italian', 'wine_bars']",54342,81369,214
ESDQZ5DiXAE9Cexq39tOpQ,34.084792,-118.274807,1,354.0,4.5,90026,Los Angeles,frankielucy-bakeshop-los-angeles,"['coffee', 'bakeries', 'desserts']",54342,81369,214
E3FcxLk7-HQqbdQKr7cd0A,34.089290000000005,-118.27693,2,396.0,4.5,90026,Los Angeles,mh-zh-los-angeles,"['mediterranean', 'steak', 'tapasmallplates']",54342,81369,214
DtBO95Xuyx4JtEwX_wVTQg,34.078554600000004,-118.2790659,1,37.0,4.0,90026,Los Angeles,moms-donut-and-chinese-food-to-go-los-angeles,"['chinese', 'donuts', 'breakfast_brunch']",54342,81369,214
D4dSsk0Z8-CvCe2uEJ4fKA,34.077169,-118.26474,1,141.0,3.5,90026,Los Angeles,starbucks-reserve-los-angeles-7,['coffee'],54342,81369,214
CbW8U0QAwh5XRkaLt0xNZA,34.077585,-118.259599,2,4029.0,4.0,90026,Los Angeles,masa-of-echo-park-los-angeles,"['newamerican', 'pizza', 'salad']",54342,81369,214
CA4xJZ3Qmn8wrGmNdxrfRw,34.080599,-118.26063899999998,1,82.0,2.0,90026,Los Angeles,mcdonalds-los-angeles-80,"['hotdogs', 'burgers', 'coffee']",54342,81369,214
Bzux14VeAPzlNTjc9dS7NQ,34.08902,-118.26905,3,609.0,4.0,90026,Los Angeles,l-and-e-oyster-bar-los-angeles,['seafood'],54342,81369,214
Bjkw0oRy1STaCJmv5EZ0Mw,34.0905727,-118.2778757,2,664.0,4.0,90026,Los Angeles,sawyer-los-angeles,"['newamerican', 'breakfast_brunch', 'seafood']",54342,81369,214
BedKHD1gtsnsWlVzXVeXNw,34.08271072,-118.2723223,2,1350.0,3.5,90026,Los Angeles,pho-cafe-los-angeles,['vietnamese'],54342,81369,214
BdIz2OUyne3MlYfcLey63w,34.0874499,-118.26003,1,98.0,4.5,90026,Los Angeles,shreebs-coffee-los-angeles,"['catering', 'coffee']",54342,81369,214
Bcp6NEv7CGTOtnIgvo6Unw,34.07791683,-118.2635227,1,77.0,4.5,90026,Los Angeles,yami-yaki-los-angeles-2,['teppanyaki'],54342,81369,214
BSwjpBfATKPnhRGOmCf6vg,34.089882,-118.2682356,2,182.0,3.5,90026,Los Angeles,the-satellite-los-angeles,"['bars', 'musicvenues']",54342,81369,214
BDRVlHnK4l0T0ANb7M-Eqg,34.07023951,-118.2504484,1,2016.0,4.5,90026,Los Angeles,guisados-los-angeles-3,['mexican'],54342,81369,214
BD1-vlrTh-u5iGafy_cOlg,34.07331793,-118.26001200000002,1,9.0,4.5,90026,Los Angeles,elotero-de-echo-park-lake-los-angeles,['streetvendors'],54342,81369,214
Aq1vM8LCcb8mdpCOKCdlsw,34.07267,-118.25178,3,220.0,4.0,90026,Los Angeles,tsubaki-los-angeles-5,['izakaya'],54342,81369,214
