,zip_code,count,review_count,price*review_count,price_1,price_2,price_3,price_4,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5,cluster
104,90404,62,203.67741935483872,318.6566077003122,32,26,3,1,0,0,0,1,8,11,16,17,7,2,4
105,90405,163,331.76073619631904,555.648349580338,64,89,9,1,0,0,1,6,7,21,36,58,28,6,4
106,90501,147,253.4625850340136,372.4348188254894,86,53,8,0,0,0,2,6,3,20,31,58,22,5,13
107,90502,40,99.6,139.43999999999997,27,11,1,1,0,0,1,3,10,5,9,7,5,0,13
108,90503,138,262.5072463768116,378.54305818105445,81,55,0,2,0,0,2,9,20,22,28,45,11,1,13
109,90504,67,206.83582089552237,299.4488750278458,38,28,1,0,0,0,1,5,8,9,12,19,12,1,25
110,90505,184,274.0326086956522,433.38852788279775,80,101,3,0,0,0,3,4,9,29,49,64,21,5,13
111,90601,83,230.27710843373495,341.2540281608361,44,38,1,0,0,1,3,5,5,7,17,22,20,3,27
112,90602,56,209.39285714285714,310.3501275510204,29,27,0,0,0,0,1,6,5,7,8,15,12,2,27
113,90603,51,249.35294117647058,400.9204152249135,20,31,0,0,0,0,0,5,5,5,10,17,8,1,14
114,90604,37,86.16216216216216,97.80569758948137,32,5,0,0,0,0,0,4,4,4,9,9,7,0,14
115,90605,77,150.23376623376623,193.15769944341375,57,19,0,1,0,1,1,11,9,12,15,22,4,2,27
116,90606,59,87.84745762711864,110.18155702384372,44,15,0,0,0,0,1,9,8,9,14,13,4,1,27
117,90620,74,215.6081081081081,300.1031775018261,47,25,2,0,0,0,0,6,10,15,13,19,10,1,14
118,90621,133,253.42105263157896,396.3276612584092,60,71,2,0,0,0,3,3,9,11,34,50,22,1,14
119,90623,39,271.6923076923077,348.3234714003945,28,11,0,0,0,0,0,4,0,5,11,8,10,1,14
120,90630,129,242.2325581395349,339.8766901027583,77,52,0,0,0,1,1,8,20,9,29,35,25,1,14
121,90631,168,175.10119047619048,237.6373299319728,109,58,1,0,0,0,5,10,21,20,30,41,35,6,24
122,90638,106,158.80188679245282,215.73086507653966,70,34,2,0,0,2,5,5,13,12,23,27,16,3,14
123,90640,179,124.44134078212291,161.28710090196935,126,53,0,0,0,1,4,14,20,19,42,48,23,8,27
124,90650,181,103.7182320441989,130.07756173498979,135,46,0,0,0,2,4,21,31,32,28,37,19,7,27
125,90660,171,113.08771929824562,142.18631373756028,129,40,2,0,0,0,4,12,23,24,34,45,23,6,27
126,90670,70,102.05714285714286,122.46857142857144,56,14,0,0,0,0,2,6,8,9,13,18,11,3,27
127,90680,25,179.04,229.1712,18,7,0,0,0,0,0,1,0,7,6,4,7,0,14
128,90701,147,325.4013605442177,484.78161876995705,75,72,0,0,0,1,2,12,11,10,29,47,31,4,14
129,90703,180,411.43888888888887,624.0156481481481,87,93,0,0,0,0,2,6,18,37,37,52,28,0,14
130,90706,152,166.84868421052633,211.85392139889197,111,41,0,0,0,1,2,13,13,20,20,52,26,5,27
131,90710,48,89.64583333333333,119.52777777777777,32,16,0,0,0,2,1,4,4,6,7,8,16,0,13
132,90712,112,224.15178571428572,324.21954719387753,64,47,0,1,0,0,1,10,18,26,21,19,13,4,7
133,90713,60,159.01666666666668,204.07138888888892,46,12,1,1,0,0,2,6,10,14,8,11,9,0,7
134,90715,30,145.6,203.83999999999997,18,12,0,0,0,0,1,3,3,6,5,4,7,1,14
135,90716,43,187.67441860465115,253.14223904813412,28,15,0,0,0,0,3,2,4,6,5,15,7,1,14
136,90717,74,188.64864864864865,282.97297297297297,38,35,1,0,0,1,2,5,8,7,10,25,15,1,13
137,90720,73,278.7260273972603,408.543629198724,40,32,1,0,0,0,0,4,6,6,11,28,17,1,14
138,90723,118,108.37288135593221,157.04883654122378,68,48,1,1,0,2,5,16,18,16,19,21,16,5,27
139,90731,133,169.66165413533835,239.82248855220757,79,53,1,0,0,1,2,6,12,15,30,35,28,4,13
140,90732,37,127.24324324324324,185.7063550036523,20,17,0,0,0,0,0,2,6,6,9,11,3,0,13
141,90740,81,287.01234567901236,428.74683737235176,44,34,3,0,0,0,0,2,10,7,17,30,14,1,7
142,90744,68,62.55882352941177,69.91868512110727,60,8,0,0,0,1,0,5,2,9,3,24,17,7,13
143,90745,127,132.3779527559055,164.69068138136277,97,29,1,0,0,0,5,14,20,18,30,21,18,1,13
144,90746,84,157.26190476190476,215.29903628117913,55,27,2,0,0,0,1,15,15,19,15,14,5,0,13
145,90755,34,224.97058823529412,324.22231833910035,21,11,2,0,0,2,0,3,7,3,7,9,3,0,7
146,90802,244,383.23770491803276,651.818227626982,85,148,10,1,0,0,2,13,15,22,63,80,40,9,7
147,90803,160,514.44375,880.9849218749999,51,105,3,1,0,0,0,2,4,17,31,75,27,4,7
148,90804,112,248.92857142857142,320.05102040816325,81,30,1,0,0,0,0,10,9,10,29,34,20,0,7
149,90805,115,89.07826086956521,103.79553875236294,96,19,0,0,0,1,10,13,16,13,24,25,10,3,7
150,90806,84,103.29761904761905,125.4328231292517,66,18,0,0,0,0,2,9,11,11,23,13,9,6,7
151,90807,120,249.55,374.32500000000005,60,60,0,0,0,0,2,4,8,16,28,37,21,4,7
152,90808,92,220.52173913043478,323.5916824196598,49,43,0,0,0,1,1,3,9,8,29,28,11,2,7
153,90810,60,68.26666666666667,79.64444444444445,51,8,1,0,0,0,2,4,6,9,12,10,15,2,7
154,90813,86,112.77906976744185,131.13845321795566,72,14,0,0,0,0,1,5,7,11,16,27,15,4,7
155,90814,42,500.5,738.8333333333334,22,20,0,0,0,0,0,0,0,1,10,15,15,1,7
156,90815,104,252.08653846153845,332.07553624260356,71,33,0,0,0,0,0,4,14,18,26,25,14,3,7
157,91001,35,135.88571428571427,190.23999999999998,21,14,0,0,0,0,0,3,2,2,7,11,7,3,1
158,91006,95,225.65263157894736,325.41484764542935,54,40,1,0,0,0,1,6,5,10,23,35,12,3,1
159,91007,153,319.7647058823529,474.4221453287197,82,68,3,0,0,1,2,6,13,27,43,49,8,4,1
160,91010,68,124.29411764705883,160.85121107266437,48,20,0,0,0,0,1,7,8,10,15,17,9,1,12
161,91011,56,219.25,344.5357142857143,25,30,1,0,0,0,0,1,5,8,16,16,10,0,20
162,91016,147,219.7278911564626,318.38123004303765,81,66,0,0,0,0,1,5,14,20,30,46,26,5,12
163,91020,45,325.06666666666666,549.0014814814815,14,31,0,0,0,0,0,1,2,2,10,21,8,1,20
164,91024,24,204.33333333333334,323.52777777777777,10,14,0,0,0,0,0,0,0,0,5,9,9,1,1
165,91030,69,298.4782608695652,449.88027725267796,35,33,1,0,0,0,2,0,3,11,19,24,9,1,1
166,91040,45,124.75555555555556,163.5683950617284,31,14,0,0,0,1,1,3,6,5,6,11,11,1,20
167,91042,35,129.9142857142857,178.1681632653061,22,13,0,0,0,0,0,3,2,1,7,11,11,0,20
168,91101,139,452.6546762589928,758.7664717147146,53,79,6,1,0,1,0,3,8,19,28,52,25,3,1
169,91103,71,484.88732394366195,792.2102757389407,28,41,2,0,0,0,1,1,7,5,13,27,15,2,1
170,91104,82,214.6951219512195,298.47858417608563,52,28,2,0,0,0,2,6,2,10,19,27,13,3,1
171,91105,126,554.4047619047619,998.8085789871504,34,84,7,1,0,0,0,0,8,9,21,58,28,2,1
172,91106,75,391.82666666666665,600.800888888889,42,27,5,1,0,0,0,4,4,10,16,30,11,0,1
173,91107,127,313.6377952755906,442.0564201128402,77,49,0,1,0,0,0,9,9,17,27,43,15,7,1
174,91108,22,242.5,440.9090909090909,6,14,2,0,0,0,0,1,1,2,7,9,2,0,1
175,91201,62,180.30645161290323,258.8270031217482,37,24,0,1,0,0,1,2,7,3,11,15,20,3,20
176,91202,33,218.75757575757575,318.19283746556476,19,13,1,0,0,0,0,1,1,3,6,16,6,0,20
177,91203,85,418.3764705882353,679.2465051903114,33,51,1,0,0,0,0,2,6,11,13,32,13,8,20
178,91204,78,293.11538461538464,413.3678500986194,48,28,2,0,0,0,0,3,7,4,13,26,19,6,20
179,91205,111,247.17117117117118,371.87014041068096,60,47,3,1,0,0,1,3,7,18,16,38,25,3,20
180,91206,39,316.97435897435895,512.0355029585799,16,22,1,0,0,1,0,1,2,6,8,11,8,2,20
181,91207,4,143.5,215.25,2,2,0,0,0,0,0,0,0,0,1,0,3,0,20
182,91208,20,228.9,343.35,10,10,0,0,0,0,0,0,2,1,3,10,4,0,20
183,91210,48,400.5625,625.87890625,21,27,0,0,0,0,0,3,2,13,13,15,1,1,20
184,91214,54,131.92592592592592,180.78737997256516,34,20,0,0,0,0,0,1,1,7,14,13,15,3,20
185,91301,64,239.953125,412.41943359375,19,44,1,0,0,0,0,4,5,6,12,19,15,3,8
186,91302,55,262.94545454545454,435.0552066115702,22,30,3,0,0,0,0,2,3,10,11,16,7,6,9
187,91303,127,193.3228346456693,261.8230516461033,85,40,1,1,0,0,2,9,17,20,20,36,18,5,9
188,91304,64,141.671875,188.157958984375,44,19,1,0,0,0,0,7,5,6,9,18,14,5,9
189,91306,56,151.78571428571428,197.86352040816325,39,17,0,0,0,0,0,3,6,6,12,14,10,5,9
190,91307,46,158.91304347826087,234.91493383742912,24,22,0,0,0,0,0,4,9,8,9,9,5,2,9
191,91311,108,186.2037037037037,260.3403635116598,65,43,0,0,0,0,2,10,8,19,19,32,15,3,9
192,91316,57,374.5263157894737,624.2105263157895,20,36,1,0,0,0,0,1,4,5,14,22,10,1,9
193,91321,95,187.93684210526317,273.00299168975073,52,43,0,0,0,0,3,9,3,11,20,24,20,5,2
194,91324,208,304.2932692307692,450.5881102071006,108,100,0,0,0,0,3,11,16,35,38,65,34,6,9
195,91325,79,199.68354430379748,275.51273834321427,49,30,0,0,0,0,2,5,13,8,15,22,12,2,22
196,91326,35,214.2,312.11999999999995,19,16,0,0,0,0,1,2,4,3,13,7,5,0,9
197,91331,124,68.3225806451613,79.34235171696152,105,18,1,0,0,1,7,14,11,20,22,25,19,5,22
198,91335,144,165.46527777777777,207.98066165123456,107,37,0,0,0,0,4,12,18,14,25,41,24,6,9
199,91340,99,120.70707070707071,160.94276094276094,67,31,1,0,0,1,8,7,10,9,19,24,16,5,22
200,91342,102,100.05882352941177,124.58304498269896,77,25,0,0,0,0,2,18,9,16,20,26,7,4,22
201,91343,67,95.43283582089552,118.22276676319893,52,14,1,0,0,1,1,9,12,8,13,13,9,1,22
202,91344,106,251.41509433962264,372.3789604841581,58,45,3,0,0,0,5,7,15,10,20,25,18,6,22
203,91345,36,129.05555555555554,164.9043209876543,26,10,0,0,0,0,0,5,6,7,9,4,3,2,22
204,91350,78,187.07692307692307,280.6153846153846,39,39,0,0,0,0,2,5,6,11,18,25,9,2,2
205,91351,93,150.1290322580645,213.08636836628511,54,39,0,0,0,1,3,5,8,13,22,24,9,8,2
206,91352,80,93.3875,124.90578124999999,55,24,0,1,0,1,4,5,10,7,12,20,13,8,15
207,91354,21,212.42857142857142,333.81632653061223,10,10,1,0,0,0,0,1,0,3,4,7,2,4,2
208,91355,189,218.35449735449737,341.9731810419641,88,97,2,2,0,3,7,9,20,37,39,51,21,2,2
209,91356,112,275.9642857142857,482.9375,41,60,9,2,0,0,0,3,8,9,17,33,33,9,9
210,91361,40,279.225,530.5275,10,24,6,0,0,0,0,0,3,3,11,16,7,0,8
211,91362,54,290.5925925925926,527.3717421124829,15,34,5,0,0,0,0,0,4,5,12,19,12,2,8
212,91364,127,276.37795275590554,459.17911835823674,47,77,2,1,0,0,0,2,5,11,29,52,23,5,9
213,91367,99,324.0808080808081,549.9553106825834,37,57,3,2,0,0,0,2,5,19,22,38,7,6,9
214,91377,11,133.0,217.63636363636365,4,7,0,0,0,0,0,0,1,1,0,6,3,0,8
215,91381,38,210.26315789473685,326.4612188365651,18,19,1,0,0,0,0,5,5,8,11,1,7,1,2
216,91384,39,81.3076923076923,97.98619329388559,32,6,1,0,0,0,2,3,5,3,2,13,10,1,2
217,91387,41,146.1219512195122,224.5288518738846,20,20,1,0,0,0,0,3,6,6,4,13,7,2,2
218,91390,10,154.4,308.8,1,8,1,0,0,0,0,0,0,0,3,5,1,1,2
219,91401,80,161.8375,228.59546875,48,31,1,0,0,0,3,4,4,6,13,27,20,3,15
220,91402,120,96.825,116.19,96,24,0,0,0,1,6,13,14,17,22,25,17,5,22
221,91403,100,429.87,717.8829,37,59,4,0,0,0,1,3,3,11,22,42,13,5,15
222,91405,113,120.80530973451327,158.22288354608818,78,35,0,0,0,0,3,5,16,17,17,34,16,5,15
223,91406,112,153.38392857142858,216.3808992346939,71,37,3,1,0,0,0,3,13,18,21,33,20,4,22
224,91411,55,204.54545454545453,286.3636363636363,33,22,0,0,0,0,3,6,5,4,8,19,8,2,15
225,91423,111,344.3693693693694,595.6659362064768,36,70,4,1,0,0,1,4,7,11,22,42,21,3,15
226,91436,64,291.671875,555.99951171875,17,38,7,2,0,1,0,1,1,12,16,20,11,2,15
227,91501,9,162.77777777777777,325.55555555555554,1,7,1,0,0,0,0,0,1,2,0,4,0,2,20
228,91502,149,373.06040268456377,610.9177064096212,58,88,2,1,0,0,0,2,13,24,40,46,24,0,20
229,91504,53,214.66037735849056,295.6642933428266,33,20,0,0,0,0,1,5,9,7,5,14,9,3,20
230,91505,144,342.84722222222223,552.3649691358025,60,81,2,1,0,0,1,12,7,20,36,45,20,3,15
231,91506,60,262.31666666666666,375.9872222222222,34,26,0,0,0,0,1,4,1,8,12,20,12,2,20
232,91601,138,302.92028985507244,452.1853602184415,70,68,0,0,0,2,1,4,11,9,32,47,25,7,15
233,91602,65,402.2307692307692,674.5100591715976,23,40,2,0,0,1,0,2,5,4,9,28,14,2,15
234,91604,172,438.3081395348837,800.1671849648458,46,114,8,4,0,0,0,0,9,12,33,73,41,4,15
235,91605,116,149.33620689655172,208.55573721759808,75,38,1,2,0,1,5,5,15,11,18,29,22,10,15
236,91606,108,149.25925925925927,192.10219478737997,77,31,0,0,0,0,2,13,9,6,23,36,12,7,15
237,91607,72,260.5416666666667,412.52430555555554,31,40,1,0,0,1,0,4,5,3,10,27,16,6,15
238,91701,1,995.0,1990.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14
239,91702,129,133.1627906976744,163.0986118622679,100,29,0,0,0,0,2,9,16,18,25,35,21,3,12
240,91706,161,91.77018633540372,110.0102233710119,129,32,0,0,0,2,7,14,16,31,23,37,25,6,12
241,91709,33,270.3333333333333,409.5959595959596,16,17,0,0,0,0,1,3,0,2,11,12,4,0,5
242,91710,31,105.54838709677419,125.97710718002081,25,6,0,0,0,0,0,3,4,2,6,9,7,0,5
243,91711,112,334.41964285714283,537.4601403061224,47,62,3,0,0,0,1,3,7,10,26,46,18,1,5
244,91722,95,154.89473684210526,202.17839335180057,67,27,1,0,0,1,2,9,11,13,15,22,16,6,12
245,91723,72,237.375,349.46875,39,32,1,0,0,0,0,2,7,4,17,24,14,4,12
246,91724,37,86.16216216216216,95.47699050401754,34,2,1,0,0,0,2,3,6,3,8,13,2,0,12
247,91731,98,112.61224489795919,140.19075385256144,75,22,1,0,0,0,3,12,5,14,23,25,13,3,1
248,91732,95,101.77894736842106,119.99202216066482,78,17,0,0,0,0,4,12,7,9,15,24,20,4,12
249,91733,109,89.77981651376147,104.60584125915327,91,18,0,0,0,0,4,6,13,17,25,25,14,5,1
